Date,Holiday,DayofWeekInt,DayofWeekName
7/10/2020,Spring,4,wed
8/10/2020,Spring,5,thur
9/10/2020,Spring,6,fri
10/10/2020,Spring,7,sat
11/10/2020,Spring,1,sun
21/12/2020,Summer,2,mon
22/12/2020,Summer,3,tue
23/12/2020,Summer,4,wed
24/12/2020,Summer,5,thur
25/12/2020,Summer,6,fri
26/12/2020,Summer,7,sat
27/12/2020,Summer,1,sun
28/12/2020,Summer,2,mon
29/12/2020,Summer,3,tue
30/12/2020,Summer,4,wed
31/12/2020,Summer,5,thur
1/01/2021,Summer,6,fri
2/01/2021,Summer,7,sat
3/01/2021,Summer,1,sun
4/01/2021,Summer,2,mon
5/01/2021,Summer,3,tue
6/01/2021,Summer,4,wed
7/01/2021,Summer,5,thur
8/01/2021,Summer,6,fri
9/01/2021,Summer,7,sat
10/01/2021,Summer,1,sun
11/01/2021,Summer,2,mon
12/01/2021,Summer,3,tue
13/01/2021,Summer,4,wed
14/01/2021,Summer,5,thur
15/01/2021,Summer,6,fri
16/01/2021,Summer,7,sat
17/01/2021,Summer,1,sun
18/01/2021,Summer,2,mon
19/01/2021,Summer,3,tue
20/01/2021,Summer,4,wed
21/01/2021,Summer,5,thur
22/01/2021,Summer,6,fri
23/01/2021,Summer,7,sat
24/01/2021,Summer,1,sun
25/01/2021,Summer,2,mon
26/01/2021,Summer,3,tue
5/04/2021,Autumn,2,mon
6/04/2021,Autumn,3,tue
7/04/2021,Autumn,4,wed
8/04/2021,Autumn,5,thur
9/04/2021,Autumn,6,fri
10/04/2021,Autumn,7,sat
11/04/2021,Autumn,1,sun
12/04/2021,Autumn,2,mon
13/04/2021,Autumn,3,tue
14/04/2021,Autumn,4,wed
15/04/2021,Autumn,5,thur
16/04/2021,Autumn,6,fri
17/04/2021,Autumn,7,sat
18/04/2021,Autumn,1,sun
28/06/2021,Winter,2,mon
29/06/2021,Winter,3,tue
30/06/2021,Winter,4,wed
1/07/2021,Winter,5,thur
2/07/2021,Winter,6,fri
3/07/2021,Winter,7,sat
4/07/2021,Winter,1,sun
5/07/2021,Winter,2,mon
6/07/2021,Winter,3,tue
7/07/2021,Winter,4,wed
8/07/2021,Winter,5,thur
9/07/2021,Winter,6,fri
10/07/2021,Winter,7,sat
11/07/2021,Winter,1,sun
20/09/2021,Spring,2,mon
21/09/2021,Spring,3,tue
22/09/2021,Spring,4,wed
23/09/2021,Spring,5,thur
24/09/2021,Spring,6,fri
25/09/2021,Spring,7,sat
26/09/2021,Spring,1,sun
27/09/2021,Spring,2,mon
28/09/2021,Spring,3,tue
29/09/2021,Spring,4,wed
30/09/2021,Spring,5,thur
1/10/2021,Spring,6,fri
2/10/2021,Spring,7,sat
3/10/2021,Spring,1,sun
20/12/2021,Summer,2,mon
21/12/2021,Summer,3,tue
22/12/2021,Summer,4,wed
23/12/2021,Summer,5,thur
24/12/2021,Summer,6,fri
25/12/2021,Summer,7,sat
26/12/2021,Summer,1,sun
27/12/2021,Summer,2,mon
28/12/2021,Summer,3,tue
29/12/2021,Summer,4,wed
30/12/2021,Summer,5,thur
31/12/2021,Summer,6,fri
1/01/2022,Summer,7,sat
2/01/2022,Summer,1,sun
3/01/2022,Summer,2,mon
4/01/2022,Summer,3,tue
5/01/2022,Summer,4,wed
6/01/2022,Summer,5,thur
7/01/2022,Summer,6,fri
8/01/2022,Summer,7,sat
9/01/2022,Summer,1,sun
10/01/2022,Summer,2,mon
11/01/2022,Summer,3,tue
12/01/2022,Summer,4,wed
13/01/2022,Summer,5,thur
14/01/2022,Summer,6,fri
15/01/2022,Summer,7,sat
16/01/2022,Summer,1,sun
17/01/2022,Summer,2,mon
18/01/2022,Summer,3,tue
19/01/2022,Summer,4,wed
20/01/2022,Summer,5,thur
21/01/2022,Summer,6,fri
22/01/2022,Summer,7,sat
23/01/2022,Summer,1,sun
24/01/2022,Summer,2,mon
25/01/2022,Summer,3,tue
26/01/2022,Summer,4,wed
27/01/2022,Summer,5,thur
